user_id,top_ties,reciprocity,extrovert_score,num_circles,churn_rate,out_degree,in_degree,total_activity
62,"[(156, 750), (np.int64(167), 61.0)]",0.5,1.0,2,0.9230769230769231,1,2,3
63,"[(317, 1646.0), (80, 431.0), (np.int64(471), 239.0), (np.int64(349), 30)]",0.5,1.2307692307692308,4,0.0,2,4,6
64,"[(19, 510), (273, 220.0), (406, 187.0), (187, 82.0), (234, 22.0)]",0.6666666666666666,4.536585365853659,5,0.0,6,4,10
65,"[(172, 90), (247, 69.0)]",1.0,2.0,2,0.0,2,2,4
66,"[(67, 6527.0), (261, 4306.0), (83, 1290), (387, 570), (338, 540)]",0.75,7.529411764705882,5,0.0,8,6,14
67,"[(66, 6527.0), (246, 570), (431, 300), (196, 180), (496, 120)]",0.75,6.4,6,0.0,8,6,14
68,"[(260, 540), (279, 136.0), (np.int64(194), 101.0), (403, 79.0), (np.int64(450), 67.0)]",0.5,2.5454545454545454,4,0.0,3,6,9
69,"[(70, 23370), (272, 750), (358, 600), (341, 587.0), (360, 480)]",0.8571428571428571,5.833333333333334,4,0.0,7,6,13
70,"[(69, 23370), (49, 630), (118, 271.0), (483, 180)]",1.0,3.3333333333333335,4,0.0,4,4,8
71,"[(448, 1012.0), (295, 810), (130, 348.0), (391, 261.0), (426, 180)]",0.6666666666666666,6.626262626262626,8,0.75,8,7,15
72,"[(366, 13440), (512, 477.0), (83, 332.0), (332, 124.0), (412, 5.0)]",0.5,6.0,4,0.0,6,3,9
73,"[(317, 510), (121, 270), (409, 101.0), (241, 89.0), (np.int64(105), 61.0)]",0.6,3.04,5,0.0,4,4,8
74,"[(414, 1410), (301, 1394.0), (351, 509.0), (477, 480), (132, 210)]",0.7777777777777778,7.566371681415929,5,0.64,9,7,16
75,"[(548, 1080), (147, 270), (85, 150), (11, 100.0), (np.int64(504), 76.0)]",0.4,6.477011494252874,6,0.18181818181818182,7,7,14
76,"[(107, 1200), (434, 630), (253, 210)]",1.0,2.0,2,0.375,3,3,6
77,"[(321, 480), (266, 421.0), (377, 180)]",1.0,2.0,2,0.3333333333333333,3,3,6
78,"[(211, 1811.0), (409, 210), (332, 60.0)]",0.3333333333333333,3.0,4,1.0,3,1,4
79,"[(170, 960), (537, 780), (137, 690), (12, 600), (427, 570)]",0.8333333333333334,10.30316742081448,8,0.1,11,11,22
80,"[(278, 3570), (317, 1241.0), (63, 431.0), (419, 180), (398, 64.0)]",0.6666666666666666,5.2682926829268295,4,0.0,6,4,10
81,"[(223, 6390), (213, 270), (286, 210), (94, 180), (307, 150)]",1.0,4.0,3,0.0,5,5,10
82,"[(135, 900), (101, 371.0), (522, 250.0), (np.int64(249), 30)]",0.5,3.0,5,0.5,3,3,6
83,"[(66, 1290), (224, 510.0), (72, 332.0), (323, 163.0), (338, 120)]",0.8333333333333334,4.4,5,0.0,5,6,11
84,"[(555, 600), (477, 208.0), (103, 150), (390, 150), (302, 146.0)]",0.6666666666666666,8.954545454545455,5,0.0,9,6,15
85,"[(236, 2880), (346, 300), (75, 150), (203, 60)]",1.0,3.0,5,0.0,4,4,8
86,"[(322, 180), (510, 180), (np.int64(272), 22.0)]",0.6666666666666666,2.0,3,0.3333333333333333,2,3,5
87,"[(np.int64(22), 30), (np.int64(9), 26.0)]",0.0,0.0,3,0.0,0,2,2
88,"[(288, 3480), (539, 450), (440, 372.0), (330, 79.0)]",1.0,3.6666666666666665,3,0.10714285714285714,4,4,8
89,"[(361, 3510), (58, 531.0)]",1.0,2.0,2,0.38095238095238093,2,2,4
90,"[(468, 720), (354, 330), (np.int64(532), 43.0)]",0.6666666666666666,2.0,3,0.0,2,3,5
91,"[(30, 210), (94, 191.0), (564, 90), (79, 64.0), (133, 54.0)]",0.8,4.53125,6,0.3333333333333333,5,4,9
92,"[(135, 4650), (95, 390), (228, 200.0), (np.int64(74), 30)]",0.75,2.3333333333333335,4,0.5,3,4,7
93,"[(240, 2610), (211, 2479.0), (393, 600)]",0.6666666666666666,1.5,3,0.5789473684210527,3,2,5
94,"[(223, 1350), (np.int64(91), 191.0), (81, 180), (558, 120), (133, 3.0)]",0.6,3.2,3,0.0,4,4,8
